NAME,Species,Origin, latitude, longitude
SHORTTS,Smallmouth Bass,Illegal Introduction,45.21910612,-63.31812028
WEST,Brook Trout,Natural Occurrence,45.53248586,-63.94513703
WHIPPY,Brook Trout,Natural Occurrence,45.58330402,-63.31612006
BIG,Smallmouth Bass,Illegal Introduction,45.71279199,-63.7061884
BLACK,Yellow Perch,Natural Occurrence,45.70363303,-63.92945431
BLAIR,White Perch,Natural Occurrence,45.79920148,-64.21029267
DEWAR,Smallmouth Bass,Illegal Introduction,45.7389736,-63.52432278
GILBERT,Smallmouth Bass,Illegal Introduction,45.4744408,-64.33983207
HARRISON,Smallmouth Bass,Illegal Introduction,45.70836692,-64.27793689
ISSAC,Brook Trout,Natural Occurrence,45.55271941,-63.69737776
KILLARNEY,White Perch,Natural Occurrence,45.85289884,-63.84391275
LAPLANCHE,White Perch,Natural Occurrence,45.88164467,-64.14955338
LAYTONS,White Perch,Natural Occurrence,45.79458758,-64.2541981
LEAK,Brook Trout,Natural Occurrence,45.43709403,-64.34677253
MACALONEYS,Brook Trout,Natural Occurrence,45.43258019,-64.33255106
MATTATAL,Smallmouth Bass,Illegal Introduction,45.69076886,-63.47406639
MOSLEYS,Brook Trout,Natural Occurrence,45.9229599,-64.0848397
NEWVILLE,Smallmouth Bass,Illegal Introduction,45.52090113,-64.33861695
PARK,Banded Killifish,Natural Occurrence,45.73337921,-63.86667259
PINEO,White Perch,Natural Occurrence,45.75875213,-63.68213059
POISON,Brook Trout,Natural Occurrence,45.54983365,-63.93716464
RAMSHEAD,Brook Trout,Natural Occurrence,45.40274093,-64.48919477
SMITH,White Perch,Natural Occurrence,45.88034697,-64.18841908
SUTHERLAND,Brook Trout,Natural Occurrence,45.51737645,-63.6772106
VICKERY,Brook Trout,Natural Occurrence,45.71973266,-63.89715979
WELTON,White Perch,Natural Occurrence,45.49061542,-64.4805673
WIGMORE,Yellow Perch,Natural Occurrence,45.73409209,-63.63492935
AMEROS,Chain Pickerel,Illegal Introduction,44.36851282,-65.90888177
AMIRAULT,Yellow Perch,Natural Occurrence,44.46597907,-65.83502537
ANDERWS,Yellow Perch,Natural Occurrence,44.48924706,-65.85862713
ARTHURS,Chain Pickerel,Illegal Introduction,44.34592889,-65.93300545
BARNES,Yellow Perch,Natural Occurrence,44.53131646,-65.67170273
BARTLETTS,White Perch,Natural Occurrence,44.3363799,-66.06680745
BEAVER,Chain Pickerel,Illegal Introduction,44.21525518,-66.03454649
BELLIVEAU,White Perch,Natural Occurrence,44.33021212,-66.04161456
BIG TOM WALLACE,Yellow Perch,Natural Occurrence,44.48021685,-65.70842428
BIG UNIACKE,Brook Trout,Natural Occurrence,44.42752664,-65.70948079
BILL,White Perch,Natural Occurrence,44.3351457,-65.90759412
BRIGHTS,Yellow Perch,Natural Occurrence,44.3404876,-65.9134657
BULL,Brook Trout,Natural Occurrence,44.32294396,-66.01356144
CLARE,White Perch,Natural Occurrence,44.19562661,-66.1049277
CLEARWATER,Smallmouth Bass,Illegal Introduction,44.19650749,-66.04213016
COLIBRI,Yellow Perch,Natural Occurrence,44.33589166,-65.78010163
CRANBERRY,Smallmouth Bass,Legal Introduction,44.15280435,-66.10046616
DOCTORS,Brook Trout,Natural Occurrence,44.0552363,-66.1128308
DOUCETTE,Atlantic Salmon,Natural Occurrence,44.06180328,-66.12619727
DOYLES,Yellow Perch,Natural Occurrence,44.34163704,-65.7955148
EEL,Chain Pickerel,Illegal Introduction,44.2352996,-66.04925133
ELLISON,Yellow Perch,Natural Occurrence,44.54240173,-65.73954248
ENGLISH,White Perch,Natural Occurrence,44.15997542,-66.05488264
EVERITT,Yellow Perch,Natural Occurrence,44.44894004,-65.86124604
FARISH,White Perch,Natural Occurrence,44.09049273,-66.02030966
GASPEREAU,White Perch,Natural Occurrence,44.10934299,-66.12604297
GERMAIN,Chain Pickerel,Illegal Introduction,44.22974527,-66.04147685
HAINES,Brook Trout,Natural Occurrence,44.51419702,-65.80733136
HECTANOOGA,Brook Trout,Natural Occurrence,44.09678203,-66.02758846
HERON,Chain Pickerel,Illegal Introduction,44.16740739,-66.09315187
HOURGLASS,White Perch,Natural Occurrence,44.32696506,-65.92825941
HUNTER,Brook Trout,Natural Occurrence,44.1408082,-65.96579214
JIB,Chain Pickerel,Illegal Introduction,44.31460209,-65.99872694
JOLI,Brook Trout,Natural Occurrence,44.47055132,-65.55764892
JOURNEAYS,Yellow Perch,Natural Occurrence,44.3964518,-66.01181031
KNOCKWOOOD,Brook Trout,Natural Occurrence,44.41157965,-65.73641288
LAC A PECEE,White Perch,Natural Occurrence,44.12020093,-66.09430987
LAC A PIERRE,Brook Trout,Natural Occurrence,44.23327576,-66.07100931
LAC INNOCENT,Chain Pickerel,Illegal Introduction,44.27385157,-66.0753415
LANGFORD,Brook Trout,Natural Occurrence,44.31082174,-65.76330702
LE MARCHANT,Yellow Perch,Natural Occurrence,44.49608501,-65.55110558
LITTLE TOM WALLACE,Brook Trout,Natural Occurrence,44.47029802,-65.68241824
LITTLE TUSKET,Brook Trout,Natural Occurrence,44.3294278,-65.76824477
LONG TUSKET,Brook Trout,Natural Occurrence,44.349232,-65.76088434
LOWER CORNING,Atlantic Salmon,Natural Occurrence,44.0527498,-66.0817044
MALLETTE,Brook Trout,Natural Occurrence,44.5009265,-65.77571215
MARDI GRAS,Yellow Perch,Natural Occurrence,44.13461082,-66.11067618
MIDDLE CARRYING ROAD,Brook Trout,Natural Occurrence,44.18185464,-65.79480347
NAPIER,Brook Trout,Natural Occurrence,44.19414414,-65.71835277
NORWOOD CLEARWATER,Brook Trout,Natural Occurrence,44.05711227,-66.04663795
NOWLANS,Chain Pickerel,Illegal Introduction,44.31204482,-65.9343251
OAKLEAF,Smallmouth Bass,Illegal Introduction,44.24714006,-66.03398249
OLIVER,White Sucker,Natural Occurrence,44.28481352,-65.89014433
PLACIDES,White Perch,Natural Occurrence,44.29033835,-65.93470965
PLYMPTON,Brook Trout,Natural Occurrence,44.48342009,-65.88981782
PORCUPINE,Chain Pickerel,Illegal Introduction,44.27218197,-65.94057129
PORTERS,Brook Trout,Natural Occurrence,44.49395753,-65.80667386
PROVOST,Yellow Perch,Natural Occurrence,44.35056356,-65.85316447
RANGE CORNER,Yellow Perch,Natural Occurrence,44.50191668,-65.81613811
SALMON RIVER,Smallmouth Bass,Illegal Introduction,44.17736403,-66.05102744
SECTACLE,Smallmouth Bass,Legal Introduction,44.27572143,-66.0627206
SNARE,Brook Trout,Natural Occurrence,44.10337551,-65.97196457
SOUTH CARRYING ROAD,Brook Trout,Natural Occurrence,44.16946852,-65.79325493
SPECTACLE,Smallmouth Bass,Illegal Introduction,44.27572143,-66.0627206
SULLIVANS,White Perch,Natural Occurrence,44.31395362,-65.87703039
SWALLOW,Smallmouth Bass,Illegal Introduction,44.18687315,-66.02524384
TEDFORD,White Perch,Natural Occurrence,44.10203848,-66.01266458
THIBAULT,Chain Pickerel,Illegal Introduction,44.33162285,-66.09296124
TICKEN,Brook Trout,Natural Occurrence,44.15826347,-65.98346218
UNNAMED,White Perch,Natural Occurrence,44.30002042,-65.88333177
WENTWORTH,Smallmouth Bass,Illegal Introduction,44.19285547,-65.93403033
ARCHIBALD,Brook Trout,Natural Occurrence,45.20816441,-61.95143679
ASH,Brook Trout,Natural Occurrence,45.12141169,-62.2117984
AULD,White Sucker,Natural Occurrence,45.63334454,-61.41666815
BEAR,Brook Trout,Natural Occurrence,45.05733905,-61.99635043
BEAVER DAM #2,Yellow Perch,Natural Occurrence,45.34203438,-61.78094181
BIG GASPEREAUX,White Perch,Natural Occurrence,45.10303837,-62.06714932
BIG INDIAN HARBOUR,Brook Trout,Natural Occurrence,45.11712883,-61.86375278
BLOWDOWN,Brook Trout,Natural Occurrence,45.32238895,-61.04176009
BOTTLE BROOK,Brook Trout,Natural Occurrence,45.24684785,-62.57622786
BULL MOOSE,Brook Trout,Natural Occurrence,45.04895742,-62.23985514
CARIBOU,Brook Trout,Natural Occurrence,45.25944613,-62.57519098
CHARLIE,White Sucker,Natural Occurrence,45.38978573,-61.86378239
COCHRANE,Brook Trout,Natural Occurrence,45.34545181,-61.89567558
COOEYCOFF,Brook Trout,Natural Occurrence,45.30355038,-61.21022018
COOPER,Brook Trout,Natural Occurrence,43.87097451,-66.07513858
COUNTRY HARBOUR,White Perch,Natural Occurrence,45.30034997,-61.91396177
CROOKED,Brown Trout,Legal Introduction,45.37005166,-61.89837673
CUDDIHY,Brook Trout,Natural Occurrence,45.44431627,-61.72567384
CUMMINGER,White Perch,Natural Occurrence,45.26802565,-62.04383787
CUPBOARD,Yellow Perch,Natural Occurrence,45.27662488,-61.50344981
DAYSPRING,Brook Trout,Natural Occurrence,45.21527187,-62.58151851
DOBSON,Brook Trout,Natural Occurrence,45.3349299,-61.20222504
DONAHUE,Brook Trout,Natural Occurrence,45.29475763,-61.49278281
DUGGANS,Brook Trout,Natural Occurrence,45.33044535,-61.78307918
EIGHT ISLAND,White Perch,Natural Occurrence,45.35225676,-61.95891555
FANCYS,White Perch,Natural Occurrence,44.97354597,-62.05069734
FIRST ROCKY,Brook Trout,Natural Occurrence,45.23922811,-62.53794676
